rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
PRON(*),0.07995705673294556,0.05963115475573674,0.055571588744224396,0.03103947364192283,0.02032590197720882,0.02032590197720882,5083,5341,10424,94.30426716141002,99.07252828788722,17393092.0,2.5762116398036052e-70,0.45159470618807024,True,True,human
X(*),0.020195133428217882,0.005224696584551523,0.06342423972818365,0.02227598485360343,0.01497043684366636,0.01497043684366636,977,664,1641,18.126159554730982,12.316824336857726,15551298.5,4.275092784544895e-24,0.31494544483419246,True,True,human
NUM(*),0.047893309131989005,0.03759566847067063,0.05325828411332696,0.03348760801843908,0.010297640661318372,0.010297640661318372,4286,4794,9080,79.51762523191094,88.9259877573734,15372802.0,1.6583420044163378e-07,0.23148468208037543,True,True,human
*(NOUN),0.020138176685310347,0.01007397258637197,0.025046447097322,0.013877797319971939,0.010064204098938377,0.010064204098938377,3092,2793,5885,57.365491651205936,51.808569838619924,17590712.0,3.668715401676684e-88,0.49706053592555405,True,True,human
"NOUN(ADP/case, DET/det, *)",0.05355384758409549,0.04470443831368755,0.0317937825787835,0.019716550785405258,0.008849409270407942,0.008849409270407942,5066,5332,10398,93.98886827458256,98.90558337970693,16802930.0,5.413122788240561e-45,0.3345255790235148,True,True,human
"PUNCT(PUNCT/punct, *, PUNCT/punct, PUNCT/punct)",0.008087143316383938,7.521772399214977e-06,0.023031829115542718,0.00032473017007565936,0.008079621543984722,0.008079621543984722,770,3,773,14.285714285714286,0.05564830272676683,16597332.0,3.443949451062945e-180,0.49606024672162163,True,True,human
"NOUN(PUNCT/punct, *)",0.011111203137252695,0.0033256830107909283,0.02853067860309226,0.011283639026414447,0.007785520126461767,0.007785520126461767,1146,681,1827,21.261595547309835,12.632164718976071,16004350.0,2.253371308770383e-44,0.35886735703537215,True,True,human
INTJ(*),0.005004417031622487,0.0003062059927642436,0.024953310480819012,0.004573734313589422,0.004698211038858244,0.004698211038858244,370,39,409,6.8645640074211505,0.7234279354479688,15424731.0,5.323168116763718e-63,0.26190510986394805,True,True,human
"PRON(ADP/case, *)",0.011311893246530704,0.007105290470403918,0.019321418555577584,0.01067679353975429,0.0042066027761267855,0.0042066027761267855,1847,2136,3983,34.26716141001855,39.62159154145799,14917472.5,0.005448119894760373,0.26949042187744493,True,True,human
"SYM(ADP/case, DET/det, *)",0.003951086974840627,2.755166244034492e-05,0.02057142206058966,0.0011652712174319117,0.003923535312400282,0.003923535312400282,246,5,251,4.564007421150278,0.09274717121127805,15178828.0,1.577754890766707e-53,0.26929767872095023,True,True,human
"PRON(*, VERB/acl:relcl)",0.006144002598482538,0.002223180028469763,0.017386902544912746,0.007606985806790458,0.003920822570012775,0.003920822570012775,813,515,1328,15.083487940630798,9.552958634761639,15448080.0,2.1321127327854588e-23,0.2921716342195044,True,True,human
"NOUN(NUM/nummod, *)",0.008381945891942641,0.004591342974338217,0.021099743588077622,0.010576631820394703,0.0037906029176044244,0.0037906029176044244,1102,1139,2241,20.445269016697587,21.12780560192914,14789962.0,0.022634638691805698,0.22712796979386293,True,False,human
*(PRON),0.00425827043591734,0.0009839268261450267,0.015483660996931338,0.0053915665197007065,0.0032743436097723132,0.0032743436097723132,492,213,705,9.128014842300557,3.951029493600445,15314693.0,7.331545977806503e-30,0.2824322724526343,True,True,human
"NOUN(*, NOUN/nmod)",0.0164669800319143,0.013472128902018826,0.023016122756442495,0.012978585806094444,0.0029948511298954743,0.0029948511298954743,2812,3759,6571,52.170686456400745,69.72732331663885,14036534.0,0.0016826149165486708,0.16028939673706233,True,True,human
"VERB(*, NOUN/obj, PUNCT/punct)",0.004542057900131604,0.0016637278239384332,0.01782183690841974,0.007212915514583115,0.002878330076193171,0.002878330076193171,505,349,854,9.369202226345083,6.473752550547208,14999608.0,4.888977959023898e-10,0.21172090934466,True,True,human
"NOUN(PUNCT/punct, *, PUNCT/punct)",0.004076660625730415,0.0012050750452617938,0.016227765105471442,0.007588517558919297,0.002871585580468621,0.002871585580468621,428,201,629,7.940630797773655,3.728436282693378,15161924.0,5.08169706305881e-22,0.22669103109405658,True,True,human
"ADV(ADP/case, *)",0.005383688215882433,0.0025491368831474974,0.016334448862319707,0.00857789237487956,0.0028345513327349353,0.0028345513327349353,713,571,1284,13.228200371057515,10.591726952327955,15025648.0,4.579010484375175e-08,0.2172741623641764,True,True,human
"ADV(*, NUM/appos)",0.0028128938062610145,1.3199930340614138e-05,0.013558023731317754,0.0005606499339356842,0.0027996938759204002,0.0027996938759204002,256,3,259,4.749536178107607,0.05564830272676683,15211077.0,4.547855469807977e-57,0.29178177056074533,True,True,human
"VERB(*, PUNCT/punct)",0.0028668531108018416,0.00024701785741146776,0.01468222603777041,0.0031822479226471315,0.002619835253390374,0.002619835253390374,262,40,302,4.860853432282004,0.7419773696902244,15130148.0,9.260318349397584e-39,0.24662013272199448,True,True,human
*(ADV),0.003349921537052579,0.0007717719553134373,0.01523749821269894,0.005175657297552155,0.0025781495817391417,0.0025781495817391417,334,145,479,6.196660482374768,2.6896679651270636,15053683.0,9.035748365704268e-20,0.22656843420872128,True,True,human
"NOUN(PUNCT/punct, *, NOUN/nmod)",0.004930478823012188,0.002377458195347932,0.016481220725982418,0.007926733673792907,0.002553020627664256,0.002553020627664256,604,550,1154,11.205936920222635,10.202188833240585,14773164.0,0.0048198680251081314,0.1974216596601705,True,True,human
"VERB(SCONJ/mark, PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",0.002557350438516847,7.146121669770454e-05,0.012464059749011368,0.0016317936258735753,0.0024858892218191423,0.0024858892218191423,257,12,269,4.768089053803339,0.22259321090706732,15190120.5,7.655716959218355e-52,0.27967063922606045,True,True,human
"ADV(ADP/case, *, NUM/appos)",0.0024434267325326386,2.821784241348801e-05,0.014046758728458326,0.001570434615881927,0.0024152088901191505,0.0024152088901191505,184,2,186,3.4137291280148423,0.03709886848451122,15019315.0,2.647816505781484e-41,0.24165522886915328,True,True,human
"PUNCT(*, PUNCT/punct, PUNCT/punct)",0.0024167448555464,7.866337600349122e-06,0.012250295974923525,0.0005775199134557803,0.0024088785179460508,0.0024088785179460508,243,1,244,4.50834879406308,0.01854943424225561,15181090.0,2.388890880680982e-55,0.2777801715067746,True,True,human
*(PROPN),0.004771653877048338,0.0023672660976482842,0.017439659041783885,0.010722473324302756,0.002404387779400054,0.002404387779400054,540,428,968,10.018552875695732,7.939157855685401,14892355.0,5.678370916164931e-06,0.166093971765005,True,True,human
"VERB(*, NOUN/obj, SYM/obl)",0.0023904780354109213,7.274441404904157e-05,0.01221874900732545,0.0016338240221892228,0.0023177336213618797,0.0023177336213618797,234,12,246,4.341372912801484,0.22259321090706732,15127978.0,1.2703156946852895e-46,0.26589096240646043,True,True,human
"NOUN(ADP/case, DET/det, *, NOUN/conj, NOUN/conj)",0.002402940825234084,0.00015954714889277336,0.012033063923897875,0.0021715214644851253,0.0022433936763413104,0.0022433936763413104,252,32,284,4.675324675324675,0.5935818957521796,15124457.0,2.6697137971744702e-40,0.2594688192226566,True,True,human
"NOUN(PUNCT/punct, DET/det, *)",0.0026561622832093337,0.0004549402540599911,0.014195866585865717,0.004078943940383893,0.0022012220291493427,0.0022012220291493427,258,79,337,4.786641929499073,1.4654053051381932,15016630.0,1.2929209319654429e-23,0.21076130351501554,True,True,human
"NOUN(DET/det, DET/det, *)",0.004805773924788627,0.002680536861104591,0.01443377724472856,0.00863758127205878,0.0021252370636840358,0.0021252370636840358,691,590,1281,12.82003710575139,10.94416620293081,14893537.5,5.880323630198106e-05,0.1786791477706693,True,True,human
"NOUN(ADP/case, DET/det, *, ADV/nmod)",0.0021623106252965296,7.146805366556873e-05,0.013188096558659507,0.0017509717434409612,0.0020908425716309608,0.0020908425716309608,166,10,176,3.079777365491651,0.1854943424225561,14949862.0,1.623876774318218e-32,0.22225921070003385,True,True,human
"NOUN(*, NOUN/nmod, PUNCT/punct)",0.002644194511136604,0.0005646700217139969,0.014513957027175034,0.0054182954014375005,0.0020795244894226067,0.0020795244894226067,229,92,321,4.24860853432282,1.7065479502875163,14904849.5,2.666867449087011e-15,0.18982865413659333,True,True,human
"NOUN(*, NUM/nmod)",0.002635936247719311,0.0005635958869245156,0.015897463162051886,0.0046681581913891115,0.0020723403607947953,0.0020723403607947953,190,88,278,3.5250463821892395,1.6323502133184937,14809533.0,2.461842630465041e-10,0.1768838851533156,True,True,human
"VERB(PUNCT/punct, *)",0.0024517368057184975,0.00039501877061179786,0.014529122516971877,0.0036786548158416,0.0020567180351066996,0.0020567180351066996,209,70,279,3.877551020408163,1.2984603969578927,14908177.5,1.3655873336078383e-17,0.19406977546963577,True,True,human
"VERB(*, ADV/advmod, PUNCT/punct)",0.002142822003626774,0.00010687954753178816,0.012248784208083712,0.0021051066083042306,0.0020359424560949862,0.0020359424560949862,192,16,208,3.562152133580705,0.2967909478760898,15004076.0,5.080711505699547e-35,0.23166829015124313,True,True,human
"ADV(*, SCONJ/fixed)",0.00356216185054561,0.001562905144055624,0.012769696119191293,0.006609927001798791,0.001999256706489986,0.001999256706489986,488,331,819,9.053803339517625,6.139862734186607,14992196.0,4.2714884002507274e-10,0.1966320064844082,True,True,human
"ADJ(PUNCT/punct, *)",0.0028617884323159527,0.0009121235433332314,0.014600750384205068,0.0059776941159999965,0.0019496648889827212,0.0019496648889827212,294,155,449,5.454545454545454,2.8751623075496195,14914576.0,5.2519941321206386e-12,0.17476306875063352,True,True,human
"PROPN(*, NOUN/flat:name)",0.0019613148330426037,1.7386812879997847e-05,0.01711976419512893,0.0007529549198211471,0.001943928020162606,0.001943928020162606,98,3,101,1.8181818181818181,0.05564830272676683,14784939.0,2.0543544247111084e-21,0.16042710964441695,True,True,human
"NOUN(*, NOUN/flat:name)",0.0019317909604725987,2.451569497939e-05,0.013638647125669008,0.0014002617687944234,0.0019072752654932087,0.0019072752654932087,144,2,146,2.6716141001855287,0.03709886848451122,14911512.0,2.643432705868629e-32,0.19673432664732501,True,True,human
"NOUN(ADP/case, *, NOUN/nmod, PUNCT/punct)",0.004070986361735875,0.0021878073084818923,0.013649119392168386,0.007397591559614474,0.0018831790532539828,0.0018831790532539828,530,482,1012,9.833024118738404,8.940827304767204,14740128.0,0.009720968900691969,0.17154478896577688,True,True,human
"NOUN(PUNCT/punct, NOUN/nsubj, CCONJ/cc, DET/det, *, NOUN/nmod, PUNCT/punct)",0.0017033145903129609,0.0,0.01079590204009162,0.0,0.0017033145903129609,0.0017033145903129609,152,0,152,2.8200371057513913,0.0,14938461.0,2.1183385590482528e-35,0.2231263849619108,True,True,human
"ADV(PUNCT/punct, *, PUNCT/punct)",0.0028713207025239163,0.0011825413310019072,0.011985530009114037,0.005731440786088113,0.0016887793715220092,0.0016887793715220092,369,248,617,6.846011131725417,4.6002596920793914,14879970.5,6.675295270133064e-08,0.1797681196217607,True,True,human
"VERB(VERB/advcl, *, NOUN/obl, NOUN/obl, NOUN/obl, PUNCT/punct)",0.0016224971807653297,0.0,0.01086597701379029,0.0,0.0016224971807653297,0.0016224971807653297,138,0,138,2.560296846011132,0.0,14900724.0,2.952685830914061e-32,0.21116900164967758,True,True,human
"PRON(DET/det, *)",0.001968457950518791,0.0003835953214902032,0.011646888083419259,0.0036471781745980457,0.001584862629028588,0.001584862629028588,198,68,266,3.673469387755102,1.2613615284733815,14882704.0,3.5751701843021653e-16,0.183646892276921,True,True,human
"NOUN(ADP/case, *, PROPN/nmod, PUNCT/punct)",0.0020670570019821212,0.0005192714773552348,0.011621986350924565,0.004307801847700241,0.0015477855246268865,0.0015477855246268865,195,87,282,3.6178107606679037,1.613800779076238,14826258.0,2.740577805377929e-11,0.1766001145597703,True,True,human
"X(ADP/case, DET/det, *)",0.0016602687183218852,0.00013336391434162686,0.013546637984505635,0.0026536862170528377,0.0015269048039802584,0.0015269048039802584,114,16,130,2.1150278293135436,0.2967909478760898,14793321.0,4.664672265130928e-18,0.15642946134921829,True,True,human
"NOUN(PUNCT/punct, ADP/case, DET/det, *)",0.0021648450801117977,0.0006583449113811538,0.011739419009604663,0.005067583924794429,0.001506500168730644,0.001506500168730644,239,111,350,4.434137291280148,2.058987200890373,14879344.0,1.581434332690743e-12,0.16662217045052266,True,True,human
"ADJ(ADP/case, DET/det, *)",0.0016766403850759892,0.00017291667276904068,0.013157552341046068,0.0027904003381314805,0.0015037237123069484,0.0015037237123069484,108,23,131,2.0037105751391464,0.42663698757187907,14758716.0,6.381846965800956e-14,0.1581083253739992,True,True,human
"NOUN(ADP/case, DET/det, *, X/nmod)",0.0019072223733155908,0.00040979614040477307,0.013028897124121449,0.004165969077338323,0.0014974262329108176,0.0014974262329108176,147,59,206,2.727272727272727,1.094416620293081,14768436.0,3.963034958083777e-10,0.15481565870532873,True,True,human
"NOUN(*, PROPN/nmod, PUNCT/punct)",0.0019474581126237137,0.00046182618843437903,0.012568873687270358,0.004575255115526285,0.0014856319241893347,0.0014856319241893347,160,70,230,2.968460111317254,1.2984603969578927,14775047.0,1.1275547999546591e-09,0.1570758669054244,True,True,human
"NOUN(ADP/case, *, SYM/nmod)",0.0016959425366162902,0.00024678827007605707,0.010637674496880446,0.0032533871765341397,0.0014491542665402333,0.0014491542665402333,155,36,191,2.87569573283859,0.667779632721202,14851106.5,2.5238385459903266e-18,0.18423256870191493,True,True,human
"VERB(ADP/mark, *, NOUN/obl)",0.005267780063224797,0.0038316738907106427,0.01466391872799257,0.009079014582884569,0.001436106172514154,0.001436106172514154,811,978,1789,15.046382189239331,18.14134668892599,14286937.5,0.020900737143774318,0.11775733719335839,True,False,human
"PRON(ADP/case, *, PRON/fixed)",0.0022018621927636143,0.0007665563920522935,0.013111351310259747,0.004966054341830647,0.0014353058007113208,0.0014353058007113208,215,138,353,3.9888682745825603,2.559821925431274,14744791.5,1.4444679402199777e-05,0.14477769929549925,True,True,human
