rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"PUNCT(PUNCT/punct, *, PUNCT/punct, PUNCT/punct)",0.011736322975901499,2.7870810652355267e-05,0.029785295490829432,0.001188850437355488,0.011708452165249144,0.011708452165249144,770,3,773,14.285714285714286,0.05564830272676683,16597244.0,3.5662489745342026e-180,0.5554780507259549,True,True,human
*(NOUN),0.02225976244978519,0.015807842429327028,0.02137640270745533,0.01584163958407775,0.006451920020458163,0.006451920020458163,3092,2793,5885,57.365491651205936,51.808569838619924,17387201.0,4.4766818890258955e-77,0.3429379288803892,True,True,human
"NOUN(PUNCT/punct, *)",0.013090207036761623,0.006652958075780999,0.026782333590960158,0.017954132919115934,0.006437248960980624,0.006437248960980624,1146,681,1827,21.261595547309835,12.632164718976071,15891841.0,4.039356329408145e-38,0.2823403307334606,True,True,human
PUNCT(*),0.02617025388263171,0.020323814113955764,0.009613663643716118,0.004494035795006883,0.005846439768675948,0.005846439768675948,5390,5391,10781,100.0,100.0,21494553.0,0.0,0.779113740023212,True,True,human
ADP(*),0.02615976048025766,0.020325699177641567,0.009602916864603864,0.00449445262344432,0.005834061302616093,0.005834061302616093,5389,5391,10780,99.98144712430427,100.0,21489162.0,0.0,0.7781650057997488,True,True,human
NOUN(*),0.02614185461521711,0.02032758441618603,0.009545677317342962,0.0044948694905467945,0.00581427019903108,0.00581427019903108,5388,5391,10779,99.96289424860854,100.0,21483771.0,0.0,0.779320647916948,True,True,human
INTJ(*),0.006335922676519149,0.0005639937769243448,0.024627505478043946,0.0067756837404916335,0.005771928899594804,0.005771928899594804,370,39,409,6.8645640074211505,0.7234279354479688,15423107.0,8.865435753735696e-63,0.3195737023468075,True,True,human
DET(*),0.026074993107115464,0.020337013232923893,0.009362959838996526,0.004496954406285885,0.0057379798741915705,0.0057379798741915705,5383,5391,10774,99.87012987012987,100.0,21456826.0,0.0,0.7812467441440636,True,True,human
*(VERB),0.026073993954850556,0.020349591962340253,0.009634024078916361,0.0044939336997468,0.005724401992510304,0.005724401992510304,5372,5389,10761,99.66604823747682,99.9629011315155,21405495.0,0.0,0.7615298890489567,True,True,human
X(*),0.012342136576215593,0.006622825838711523,0.027817016137984946,0.018052986423029993,0.00571931073750407,0.00571931073750407,977,664,1641,18.126159554730982,12.316824336857726,15509966.5,2.5809547454950205e-22,0.2439058567036208,True,True,human
VERB(*),0.025957316819248222,0.020367181167367302,0.009298465765417957,0.004510528356424055,0.00559013565188092,0.00559013565188092,5367,5390,10757,99.57328385899814,99.98145056575774,21371375.5,0.0,0.7649602090060301,True,True,human
"ADV(*, NUM/appos)",0.005526336681521484,4.6127674907030315e-05,0.025414627458817087,0.0019561310217269664,0.0054802090066144536,0.0054802090066144536,256,3,259,4.749536178107607,0.05564830272676683,15211044.0,4.604169220675394e-57,0.3040505180658533,True,True,human
"SYM(ADP/case, DET/det, *)",0.004997008350978403,7.208382477988173e-05,0.023764832278567325,0.002619666543338553,0.004924924526198521,0.004924924526198521,246,5,251,4.564007421150278,0.09274717121127805,15178667.0,1.6736294552012952e-53,0.29131114911048184,True,True,human
"VERB(SCONJ/mark, PRON/nsubj, *, VERB/xcomp, PUNCT/punct)",0.005064159092953828,0.00018516202800303663,0.023574568344512666,0.003975974653029502,0.004878997064950792,0.004878997064950792,257,12,269,4.768089053803339,0.22259321090706732,15189886.5,8.306088786804349e-52,0.28860998731925785,True,True,human
ADJ(*),0.025247846780086444,0.020588803702529728,0.009054680568336252,0.004546760395368117,0.004659043077556716,0.004659043077556716,5246,5389,10635,97.32838589981448,99.9629011315155,20743377.0,0.0,0.6502951606732885,True,True,human
*(PRON),0.007197409204239448,0.002578594321285306,0.023800614084670605,0.012926887855610107,0.004618814882954143,0.004618814882954143,492,213,705,9.128014842300557,3.951029493600445,15300853.0,7.070976699366083e-29,0.24117022566644322,True,True,human
"ADV(ADP/case, *, NUM/appos)",0.004660139953865014,5.333203471595635e-05,0.025697020176652985,0.0028924026987763567,0.004606807919149057,0.004606807919149057,184,2,186,3.4137291280148423,0.03709886848451122,15019321.0,2.6419228337975065e-41,0.25194080863130924,True,True,human
"VERB(*, PUNCT/punct)",0.005227730005600365,0.0006349478047426081,0.024851661326032753,0.007569991804504571,0.004592782200857757,0.004592782200857757,262,40,302,4.860853432282004,0.7419773696902244,15129018.0,1.2754445073996762e-38,0.25001609430573085,True,True,human
"PRON(*, VERB/acl:relcl)",0.009962807883747178,0.005386343284368197,0.024916641717447716,0.016925092308971785,0.004576464599378981,0.004576464599378981,813,515,1328,15.083487940630798,9.552958634761639,15396998.0,4.826241048184201e-21,0.21486722749043558,True,True,human
"VERB(*, NOUN/obj, SYM/obl)",0.004742007583110775,0.0001944187863800054,0.023150707872657397,0.004186813925073643,0.00454758879673077,0.00454758879673077,234,12,246,4.341372912801484,0.22259321090706732,15127766.0,1.3666078503771586e-46,0.2733652970047591,True,True,human
"PUNCT(*, PUNCT/punct, PUNCT/punct)",0.004510017442160595,6.1574364827401676e-06,0.02142921652078065,0.00045205817056005103,0.004503860005677855,0.004503860005677855,243,1,244,4.50834879406308,0.01854943424225561,15181178.0,2.3107333880938455e-55,0.2971645333571095,True,True,human
"NOUN(PUNCT/punct, *, PUNCT/punct)",0.006927491053237524,0.002643061195430093,0.024999810331338166,0.013752167489340791,0.00428442985780743,0.00428442985780743,428,201,629,7.940630797773655,3.728436282693378,15156241.0,1.1774593055322612e-21,0.21235661284501722,True,True,human
"NOUN(ADP/case, DET/det, *, NOUN/conj, NOUN/conj)",0.0047363365377188025,0.0004750255156182815,0.02236793412209419,0.00627796635089003,0.004261311022100521,0.004261311022100521,252,32,284,4.675324675324675,0.5935818957521796,15123476.0,3.5758094853654216e-40,0.2593982248183162,True,True,human
ADV(*),0.024836412725468056,0.02069453650386668,0.009089536132652044,0.004601505630903694,0.004141876221601375,0.004141876221601375,5174,5383,10557,95.99257884972171,99.85160452606196,20398632.0,5.811612488539394e-289,0.5749459129096625,True,True,human
AUX(*),0.0248429710071121,0.02074172935134279,0.009322190304899197,0.004621609591973545,0.004101241655769312,0.004101241655769312,5157,5385,10542,95.67717996289424,99.88870339454647,20340915.0,2.3768525307221267e-283,0.5574312567458687,True,True,human
"NOUN(ADP/case, DET/det, *)",0.02474935477675756,0.02075724310746554,0.010087481583267633,0.005041644308705779,0.003992111669292017,0.003992111669292017,5066,5332,10398,93.98886827458256,98.90558337970693,20046054.0,1.49608599735774e-255,0.5006290154841795,True,True,human
"NOUN(ADP/case, DET/det, *, ADV/nmod)",0.004134612135718172,0.00018886784628710678,0.02408560848774527,0.004453528653096057,0.003945744289431065,0.003945744289431065,166,10,176,3.079777365491651,0.1854943424225561,14949757.0,1.682380738525448e-32,0.22781705920558087,True,True,human
CCONJ(*),0.024702430224175644,0.020807077336421762,0.00991614534831209,0.004632010319996027,0.003895352887753882,0.003895352887753882,5117,5383,10500,94.93506493506493,99.85160452606196,20097504.0,2.7149572425711504e-260,0.5033380427808005,True,True,human
PRON(*),0.02460459335587088,0.02071506156334401,0.009797917613467053,0.004893521907753793,0.0038895317925268687,0.0038895317925268687,5083,5341,10424,94.30426716141002,99.07252828788722,20087794.0,2.130264943824441e-259,0.5022499453903259,True,True,human
"VERB(*, ADV/advmod, PUNCT/punct)",0.0041411225110027025,0.0002752413501775579,0.022439235960550058,0.005183925508717287,0.0038658811608251447,0.0038658811608251447,192,16,208,3.562152133580705,0.2967909478760898,15003807.0,5.54143924072981e-35,0.23739132991709266,True,True,human
"VERB(*, NOUN/obj, PUNCT/punct)",0.007816887888629415,0.004218512932844938,0.02662049892654969,0.016442114793073347,0.0035983749557844764,0.0035983749557844764,505,349,854,9.369202226345083,6.473752550547208,14984870.0,1.6614587820776055e-09,0.16264150171718558,True,True,human
"NOUN(*, NOUN/nmod, PUNCT/punct)",0.004801402615144356,0.001347155274368307,0.024268967785763724,0.010466701002878933,0.0034542473407760494,0.0034542473407760494,229,92,321,4.24860853432282,1.7065479502875163,14904353.5,2.8995404336479635e-15,0.18483084967792612,True,True,human
*(ADV),0.005429371696258941,0.001981403474329343,0.022321409140984468,0.012139315229934033,0.003447968221929598,0.003447968221929598,334,145,479,6.196660482374768,2.6896679651270636,15045488.0,3.3090221349970007e-19,0.19190827708038757,True,True,human
"NOUN(PUNCT/punct, NOUN/nsubj, CCONJ/cc, DET/det, *, NOUN/nmod, PUNCT/punct)",0.0034144186667069494,0.0,0.020833844267848057,0.0,0.0034144186667069494,0.0034144186667069494,152,0,152,2.8200371057513913,0.0,14938461.0,2.1183385590482528e-35,0.23177274073843263,True,True,human
"NOUN(PUNCT/punct, DET/det, *)",0.004369964595697742,0.0011581098190407133,0.020954701810375453,0.00969478761233502,0.0032118547766570283,0.0032118547766570283,258,79,337,4.786641929499073,1.4654053051381932,15013372.0,2.5375387819064342e-23,0.19673030623093365,True,True,human
"VERB(VERB/advcl, *, NOUN/obl, NOUN/obl, NOUN/obl, PUNCT/punct)",0.003199002533704732,0.0,0.020533057169536486,0.0,0.003199002533704732,0.003199002533704732,138,0,138,2.560296846011132,0.0,14900724.0,2.952685830914061e-32,0.22033118263281265,True,True,human
"NOUN(*, NOUN/flat:name)",0.003206025492603097,3.4288330832236986e-05,0.02025601048263316,0.001783348869834955,0.00317173716177086,0.00317173716177086,144,2,146,2.6716141001855287,0.03709886848451122,14911579.0,2.5789835386859076e-32,0.2205878711180997,True,True,human
*(PROPN),0.008031766730142558,0.004933356535906332,0.025591604157828005,0.0172301242028315,0.0030984101942362263,0.0030984101942362263,540,428,968,10.018552875695732,7.939157855685401,14884564.0,8.962970975990234e-06,0.14202976746238108,True,True,human
"NOUN(DET/det, *)",0.024096124169197937,0.021120498821161033,0.010743508108509502,0.004841127129638308,0.002975625348036904,0.002975625348036904,4930,5366,10296,91.4656771799629,99.53626414394361,19259570.0,1.8738316796088942e-188,0.3571128541230007,True,True,human
"ADV(ADP/case, *)",0.009114357747940822,0.00629330938281047,0.024639633299794756,0.0187499877328011,0.0028210483651303518,0.0028210483651303518,713,571,1284,13.228200371057515,10.591726952327955,14973153.0,1.011552907968777e-06,0.12885170000743412,True,True,human
"NOUN(ADP/case, *, SYM/nmod)",0.003356911811535712,0.0006479345165605095,0.02024317109382963,0.008078486148434904,0.0027089772949752027,0.0027089772949752027,155,36,191,2.87569573283859,0.667779632721202,14850593.5,2.8535107718872732e-18,0.1757727935535383,True,True,human
"VERB(PUNCT/punct, *)",0.0037319310385146064,0.0010516013257640302,0.019502992776515928,0.00939357934065403,0.002680329712750576,0.002680329712750576,209,70,279,3.877551020408163,1.2984603969578927,14905600.5,2.2516025711541555e-17,0.17510529071464878,True,True,human
"PROPN(*, NOUN/flat:name)",0.0027159232584859287,5.007230362162181e-05,0.021092423440656052,0.002138403718410943,0.002665850954864307,0.002665850954864307,98,3,101,1.8181818181818181,0.05564830272676683,14784922.0,2.0668337957047473e-21,0.1778295144181587,True,True,human
"NOUN(*, NUM/nmod)",0.004137980287378839,0.0014935463174812552,0.022684505092955044,0.011787529125103806,0.002644433969897584,0.002644433969897584,190,88,278,3.5250463821892395,1.6323502133184937,14807499.0,3.310169420470782e-10,0.1462898155666412,True,True,human
"NOUN(ADP/case, *, PROPN/nmod, PUNCT/punct)",0.004082400778552232,0.0014396440771417777,0.021948441084851927,0.01143558727163025,0.0026427567014104545,0.0026427567014104545,195,87,282,3.6178107606679037,1.613800779076238,14824676.0,3.4851252890747e-11,0.15101383995170237,True,True,human
"PRON(DET/det, *)",0.0035974819140641347,0.001036349068932005,0.01940204468721561,0.00931929319673204,0.00256113284513213,0.00256113284513213,198,68,266,3.673469387755102,1.2613615284733815,14881247.0,4.71626690678464e-16,0.1682756643056669,True,True,human
"PUNCT(*, PUNCT/punct)",0.0025935629286565876,6.692218238037367e-05,0.018317890394188817,0.00263534768916849,0.002526640746276214,0.002526640746276214,116,4,120,2.1521335807050095,0.07419773696902245,14830737.0,8.229981247265708e-25,0.1930787330761302,True,True,human
