rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"VERB(PUNCT/punct, *, NOUN/obj)",0.0050294583283938595,0.02630480597589482,0.014123005977132272,0.01826152419721348,-0.021275347647500963,0.021275347647500963,668,3790,4458,12.393320964749536,70.30235577814877,6286409.0,0.0,-1.3033212004440078,True,True,llm
"VERB(PUNCT/punct, *, VERB/ccomp)",0.001676458015122371,0.017138137285042175,0.010295533621878399,0.025832794253668124,-0.015461679269919804,0.015461679269919804,154,1702,1856,2.857142857142857,31.57113708031905,10372142.0,0.0,-0.7863010795202781,True,True,llm
"ADV(ADV/advmod, *)",0.0039063811812583985,0.017679999534675868,0.014367408093057438,0.023385418679579637,-0.01377361835341747,0.01377361835341747,410,2025,2435,7.606679035250464,37.56260434056761,10238010.0,4.992660719066416e-288,-0.7097068471210327,True,True,llm
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod)",0.006566939362635641,0.02010761002492866,0.017343478995620106,0.022448076796097963,-0.01354067066229302,0.01354067066229302,736,2502,3238,13.65491651205937,46.41068447412354,9973695.0,7.921839132282703e-265,-0.675048259960928,True,True,llm
"PROPN(PUNCT/punct, *, PUNCT/punct)",0.007845658351062223,0.02103716846152743,0.018582385189381465,0.021180474435617117,-0.013191510110465206,0.013191510110465206,870,2775,3645,16.14100185528757,51.47468002225932,9886005.0,7.3661604712531295e-255,-0.6620972971065815,True,True,llm
"NOUN(*, ADJ/amod)",0.010933753824473199,0.024050161938818468,0.019148376420069984,0.0166787666002159,-0.013116408114345269,0.013116408114345269,1460,3802,5262,27.087198515769945,70.52494898905583,9134188.0,6.360457557866215e-282,-0.7304717150246728,True,True,llm
"ADV(*, PRON/fixed, PUNCT/punct)",0.00019703915457370362,0.013135052893536043,0.003968362991371395,0.026894653618482863,-0.01293801373896234,0.01293801373896234,14,1079,1093,0.2597402597402597,20.014839547393805,11661184.0,1.2254213074407682e-251,-0.6730382261065604,True,True,llm
"NOUN(*, ADJ/amod, NOUN/nmod)",0.004213867074554807,0.017111146176881923,0.016483057586778562,0.024666224647109908,-0.012897279102327117,0.012897279102327117,377,1820,2197,6.99443413729128,33.75997032090521,10738333.5,1.2219308505570546e-243,-0.6148138953391393,True,True,llm
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",0.007705437826673133,0.019923469455314008,0.01921285249394901,0.022815705545477627,-0.012218031628640876,0.012218031628640876,800,2430,3230,14.84230055658627,45.075125208681136,10505187.0,1.9392817015729825e-207,-0.5792911035486178,True,True,llm
"NOUN(ADP/case, *, ADJ/amod)",0.012844450680989333,0.02499512927299485,0.01830051897643608,0.012744025861342288,-0.012150678592005517,0.012150678592005517,1966,4467,6433,36.47495361781076,82.86032276015581,9152693.0,1.2745309857722632e-259,-0.7705448500182149,True,True,llm
"ADP(*, DET/fixed, NOUN/fixed, PUNCT/punct)",0.0004907302381717273,0.012334484676743541,0.005664466533185225,0.02555926581010221,-0.011843754438571814,0.011843754438571814,43,1046,1089,0.7977736549165121,19.40270821739937,11822997.5,5.2816681088170677e-225,-0.6398000982707328,True,True,llm
"NOUN(DET/det, *, ADJ/amod)",0.013141827457333933,0.024926644452072298,0.01776579482170189,0.01221426853918312,-0.011784816994738365,0.011784816994738365,2073,4534,6607,38.460111317254174,84.10313485438694,9281363.5,1.790370774599407e-245,-0.7730351791134377,True,True,llm
"NOUN(CCONJ/cc, *, ADJ/amod)",0.003913856130737126,0.015348907198370695,0.015223353543990199,0.02421635294953989,-0.011435051067633569,0.011435051067633569,365,1605,1970,6.771799628942486,29.771841958820257,11249085.0,2.6451754998213503e-199,-0.5653639093052273,True,True,llm
"NOUN(ADP/case, *, NOUN/conj)",0.006390507391775429,0.017748441955469006,0.018606527489274008,0.022757666569102483,-0.011357934563693578,0.011357934563693578,655,2123,2778,12.152133580705009,39.380448896308664,10759134.0,2.643673435624839e-202,-0.5464227539883948,True,True,llm
"NOUN(ADP/case, DET/det, *, ADJ/amod, PUNCT/punct)",0.0012098799017047869,0.012478039373461418,0.009405917950308642,0.025383222016162117,-0.01126815947175663,0.01126815947175663,94,1084,1178,1.7439703153988868,20.107586718605084,11875061.0,5.205864369960107e-202,-0.5886828724142695,True,True,llm
