termo,classe,distintividade,eta_humano,eta_ia,distintividade_abs
voce quiser,humano,6.948195389636502,1.3357994968521378,-5.612395892784364,6.948195389636502
org entre,humano,6.908385859256692,1.335614365140176,-5.572771494116516,6.908385859256692
com gente,humano,6.908296883572863,1.3356101769658077,-5.572686706607055,6.908296883572863
quiser sugerir,humano,6.896212554103627,1.3359083222410455,-5.560304231862582,6.896212554103627
gente pelo,humano,6.868554395450563,1.3371055681558146,-5.5314488272947475,6.868554395450563
span,humano,6.7289579271858635,1.3372607087292945,-5.391697218456569,6.7289579271858635
site facebook,humano,6.718419940487344,1.3366648974401203,-5.381755043047224,6.718419940487344
ao boatos,humano,6.655663379900689,1.3343993645069807,-5.321264015393709,6.655663379900689
ps esse,humano,6.587704717317926,1.3372504470174005,-5.250454270300526,6.587704717317926
esse artigo,humano,6.289277464483387,1.3321468807748142,-4.957130583708572,6.289277464483387
telefone 61,humano,6.149205540752366,1.3332424488094903,-4.8159630919428755,6.149205540752366
fontes anonimas,ia,-6.14107262694001,-5.672923020033908,0.4681496069061025,6.14107262694001
ps,humano,6.097745054018775,1.3302150296223751,-4.767530024396399,6.097745054018775
artigo uma,humano,6.066679259614517,1.3291038515194322,-4.7375754080950845,6.066679259614517
tema ao,humano,6.040462535754251,1.3291698916359995,-4.711292644118251,6.040462535754251
facebook whatsapp,humano,5.910875655109109,1.3357002075279145,-4.575175447581194,5.910875655109109
anonimas,ia,-5.603970338203655,-5.137663512722701,0.4663068254809539,5.603970338203655
reviravolta surpreendente,ia,-5.47273781315372,-5.003936189241084,0.46880162391263663,5.47273781315372
sugerir um,humano,5.359136516646071,1.3233290312762063,-4.035807485369865,5.359136516646071
fontes internas,ia,-5.304893460423421,-4.835839739759157,0.46905372066426365,5.304893460423421
fontes nao,ia,-5.1522804280503065,-4.684360420197695,0.4679200078526113,5.1522804280503065
cruciais,ia,-5.102188385489593,-4.635731402107653,0.46645698338194036,5.102188385489593
revelacao bombastica,ia,-5.0235541401063095,-4.5540711584634,0.46948298164290964,5.0235541401063095
enfatizando,ia,-4.898598403107187,-4.4310779501601685,0.4675204529470192,4.898598403107187
exclusivas,ia,-4.896211604826079,-4.429947937505675,0.4662636673204041,4.896211604826079
acalorados,ia,-4.88760842911486,-4.420094644793899,0.46751378432096163,4.88760842911486
debates acalorados,ia,-4.859680627546242,-4.39202556496255,0.467655062583692,4.859680627546242
controversia,ia,-4.8254378757649485,-4.357198992035072,0.46823888372987627,4.8254378757649485
destacando que,ia,-4.824751462053429,-4.360188350857,0.4645631111964287,4.824751462053429
fontes exclusivas,ia,-4.81384587741315,-4.345319496158244,0.46852638125490575,4.81384587741315
anonimas afirmam,ia,-4.802116923082495,-4.333329413477256,0.468787509605239,4.802116923082495
video viral,ia,-4.77207748569644,-4.302740376798928,0.4693371088975114,4.77207748569644
apesar das,ia,-4.736065091083628,-4.270789675508137,0.46527541557549074,4.736065091083628
novas evidencias,ia,-4.68999678460029,-4.224636989668989,0.46535979493130136,4.68999678460029
uma conspiracao,ia,-4.640781464557143,-4.1762072167251505,0.46457424783199175,4.640781464557143
uma reviravolta,ia,-4.57687409382946,-4.1130542815545255,0.46381981227493446,4.57687409382946
uma sugestao,humano,4.539534945471188,1.311617444694738,-3.2279175007764502,4.539534945471188
especialistas afirmam,ia,-4.53925362745044,-4.076424728128173,0.4628288993222661,4.53925362745044
que promete,ia,-4.532035058740771,-4.0692944122755845,0.4627406464651862,4.532035058740771
levantando,ia,-4.500735644385598,-4.036276095312373,0.4644595490732248,4.500735644385598
expectativa que,ia,-4.48786717887057,-4.023233738997675,0.46463343987289546,4.48786717887057
ou seja,humano,4.465260901493537,1.307965300776475,-3.1572956007170623,4.465260901493537
expoe,ia,-4.403032540673891,-3.938839602691357,0.46419293798253397,4.403032540673891
documentos secretos,ia,-4.324842530347551,-3.862508917398184,0.46233361294936653,4.324842530347551
boatos org,humano,4.323097481883326,1.3049320554015267,-3.018165426481799,4.323097481883326
agora enfrenta,ia,-4.275602279037057,-3.8136101794959094,0.46199209954114745,4.275602279037057
entrevista bombastica,ia,-4.20116706280921,-3.738231763561693,0.4629352992475174,4.20116706280921
alimentando,ia,-4.195196468535244,-3.7321827287780005,0.4630137397572435,4.195196468535244
especialistas alertam,ia,-4.147487590819525,-3.6862338589631953,0.46125373185632923,4.147487590819525
ly,humano,4.120360163286339,1.2990037183897771,-2.8213564448965616,4.120360163286339
bit,humano,4.12034477166303,1.2990151366272045,-2.8213296350358257,4.12034477166303
