tag,total_ocorrencias,media_por_arquivo
NOUN,413093,76.62641439436098
ADP,313388,58.13170098312001
DET,313056,58.07011686143573
PUNCT,278794,51.71470970135411
VERB,214932,39.86867000556483
PROPN,187473,34.77518085698386
ADJ,142931,26.51289185679837
ADV,68641,12.732517158226674
CCONJ,53917,10.001298460396958
AUX,53238,9.875347801892042
PRON,43914,8.145798553144129
SCONJ,30616,5.679094787608978
NUM,27407,5.083843442774995
SYM,7195,1.3346317937302912
X,2041,0.37859395288443703
INTJ,46,0.008532739751437582
